index,p_saleprice
1,255447.69361258397
4,200820.099137933
7,247557.64788208064
11,190937.23982356698
13,224542.06515529897
18,84206.95658422349
20,138777.84520843907
22,246441.0374435051
26,127769.96421889328
43,109329.95103201582
44,148142.68703385058
45,178311.33924795644
46,265996.52256470686
52,241136.24903095933
53,194077.08813194474
55,200677.8298142281
58,257188.95714517892
63,107134.76486128321
66,128683.64498105072
69,212346.28533009993
74,287645.87831922877
81,128481.1228929865
85,233621.00426047842
89,240957.71856146996
92,120872.8380766443
93,127162.66798849385
97,116676.43213043241
101,196068.98053599667
102,208628.61705437483
103,230043.37179979516
104,273452.018889935
106,152289.95204579624
107,152869.8773478205
109,182078.34000661332
113,231867.8320438023
122,129906.02181273088
124,172478.98372840974
127,125215.93029993761
132,124672.10386946173
144,106734.3346379882
153,189746.43493756742
154,337008.36366077885
156,91804.11705296603
162,284417.88822367135
164,142095.1954694577
169,283251.43431443104
173,161523.84109425714
174,122518.98896136964
180,735917.1682222049
184,127587.25862025873
187,127539.41601458834
190,155567.19529924338
195,125081.05745036705
196,309945.08407968865
197,187451.223170903
201,59208.7619556685
203,128963.43698657636
208,153474.21252168386
211,214738.4841910043
215,147384.0766693809
221,146927.05451489374
224,152476.3943564208
225,98001.61945232269
231,130102.69713646537
234,398371.98615403567
236,421289.93254723644
240,131330.77977530914
246,203290.51804579748
249,145183.92137674033
250,359629.8241139811
254,177404.26298562053
257,135383.35426315165
260,133053.52884929185
263,208715.38914600285
267,130216.11987222916
269,63003.80038127326
272,111085.69254526077
275,195643.24106469983
278,139236.7439934845
279,117685.71014329349
283,171164.9462682606
287,89720.71965566407
289,124584.27860151592
297,172144.26149549705
300,226606.32196350023
301,103213.4353379164
304,208335.01081331808
322,137191.8110134234
325,142306.83121177915
326,124334.80693090806
331,123313.66810285392
333,140406.9140959712
335,177480.43459757778
336,141929.34405523227
338,137259.71565419002
341,190450.67259527693
343,274494.7094730943
345,138933.2317183378
346,243481.56590101053
349,135773.33272133264
352,109421.83882351755
353,279939.1688454896
354,139820.0397720624
358,57782.78372059953
369,183955.85752391024
380,184978.83431333484
386,137974.56326264635
390,322855.80695172737
399,96885.34097996721
413,102595.59992842379
416,294208.7612589991
419,215714.19254364015
427,143391.22333717113
433,217693.20790867804
434,187621.54125075095
436,131969.39465881378
440,227451.43298077962
449,143903.91428574195
454,182465.1940265624
455,124488.0327201263
462,135412.01971042622
463,122617.04109162485
468,139145.79885209794
469,99183.30573000573
478,133541.79179451166
481,333759.7058678546
484,155008.6671548949
488,195323.58056406438
495,130599.03434963712
500,329713.6107059873
501,414982.216047322
504,135301.20217935537
506,127712.78214741897
508,122815.75444052959
517,384794.59333367564
529,197857.93109160083
530,325621.5249509405
539,106843.63552698075
540,179656.06352693442
542,153243.07533878746
548,180823.0444528616
553,63161.998877338265
555,307388.6215952699
556,296031.5868773743
560,395292.26744994224
566,304866.80187647487
567,207781.92724072826
573,87974.32019121497
574,201231.9569932035
575,197004.5324599335
578,196072.94713142398
583,176057.6400759675
586,232290.88171962608
587,218773.6443591973
588,146000.97276310576
591,232087.84408179222
592,29740.77066948998
593,133589.78655433533
595,213523.80808357956
602,181213.24573803495
607,172784.30837690225
608,228094.18971100447
615,135345.06290925248
633,297369.10627022857
635,129260.83512025198
640,305782.3228931897
643,179554.32555927907
645,230782.18156417692
650,136461.250966998
651,213086.04716927806
676,389866.41371688235
677,142769.73825846682
685,158068.86831882404
